stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
6569,6569, Alexandra Road at Lookout Road (near 7),AlexandraRd at 7,-41.29585,174.7984823,2,,0,,Pacific/Auckland
8375,8375, Stokes Valley Road at Kamahi Street (Opposite),StokesVlyRd at 435,-41.18797784,174.9828439,6,,0,,Pacific/Auckland
5392,5392, Verviers Street at Kano Street (near 39),VerviersSt at kano,-41.29015684,174.7411229,3,,0,,Pacific/Auckland
7282,7282, Wilberforce Street at Townsend Rd,Wilberforce at Townsnd,-41.32092794,174.8239348,3,,0,,Pacific/Auckland
3910,3910, Main Road opposite Outlet City,MainRd-OutletCity,-41.18356659,174.8247358,4,,0,,Pacific/Auckland
7043,7043, Inglis Street at Burnham Street (near 88),InglisSt at Burnham,-41.32595434,174.831452,3,,0,,Pacific/Auckland
3070,3070, Erris Street at Ironside Road,ErrisSt at Ironside,-41.21882257,174.7994715,3,,0,,Pacific/Auckland
4384,4384, Plymouth Street at Messines Road,PlymouthSt at Messines,-41.28659787,174.7501038,3,,0,,Pacific/Auckland
3036,3036, McLintock Street at Truscott Avenue (near 3),McLintockSt at 3,-41.22702988,174.7930154,3,,0,,Pacific/Auckland
5362,5362, Landsdowne Terrace at Parklands Dr (near 1),LandsdowneTce at 1,-41.29065173,174.7262082,3,,0,,Pacific/Auckland
4421,4421, Ranui Crescent at Izard Road,RanuiCres at Izard,-41.24752611,174.7956047,3,,0,,Pacific/Auckland
1801,1801, Kitchener St (near 47),KitchenerSt at 47,-41.21382822,175.4547737,13,,0,,Pacific/Auckland
8902,8902, Wainuiomata Road at Maire Street (near 159),WainuiomataRd at 159,-41.25648376,174.9321585,5,,0,,Pacific/Auckland
8903,8903, Wainuiomata Road at Davis Grove (near 109),WainuiomataRd at 109,-41.25920843,174.9361779,5,,0,,Pacific/Auckland
8280,8280, Wesleyhaven Hospital (Rata St),Wesleyhaven Hosp,-41.20389594,174.968536,5,,0,,Pacific/Auckland
9329,9329, Glen Road at Stokes Valley Road,GlenRd at StokesVlyRd,-41.16904375,174.9839416,6,,0,,Pacific/Auckland
1838,1838, Clareville - SH2 at Chester Rd (nortbound),SH2 at ChesterRd,-41.00808205,175.551395,13,,0,,Pacific/Auckland
1191,1191, Kapiti Health Centre (Opposite),Kapiti Health Ctr,-40.9106647,175.0069832,9,,0,,Pacific/Auckland
1292,1292, Kapiti Road (Opposite Whitireia Polytechnic),KapitiRd at Whitireia,-40.9071261,174.9985292,9,,0,,Pacific/Auckland
9901,9901, Wainuiomata Road at Parkway (near 156),WainuiomataRd at 156,-41.25515737,174.9306872,5,,0,,Pacific/Auckland
7121,7121, Wakefield Hospital - Rintoul Street (near 128),Wakefield Hospital,-41.3163441,174.7780191,2,,0,,Pacific/Auckland
9405,9405, Jocelyn Crescent at Pinehaven Road,JocelynCr at Pinehaven,-41.16348326,175.0136902,6,,0,,Pacific/Auckland
4387,4387, Croydon Street (near 2),CroydonSt at 2,-41.2905346,174.7468564,3,,0,,Pacific/Auckland
3903,3903, Middleton Road (near 375),MiddletonRd at 375,-41.19867392,174.8206237,4,,0,,Pacific/Auckland
WEST,WEST, Western Hutt Station,Western Hutt Stn,-41.21187,174.889995,4,,0,,Pacific/Auckland
1846,1846, Chanel College,Chanel College,-40.95989456,175.6550446,14,,0,,Pacific/Auckland
9349,9349, Park Road at Redvers Drive (near 41),ParkRd at Redvers,-41.1904908,174.9196041,5,,0,,Pacific/Auckland
6510,6510, Wakefield Street - Michael Fowler Centre,Micheal Fowler Ctr,-41.29039765,174.778389,1,,0,,Pacific/Auckland
3961,3961, Redwood Village - Main Road,Redwood Village,-41.17923552,174.8252116,4,,0,,Pacific/Auckland
1172,1172, Michael Road (near 84),MichaelRd at 84,-40.88147344,175.002623,9,,0,,Pacific/Auckland
3026,3026, Cortina Avenue at Stonefield Place (near 54),CortinaAv at 54,-41.2193286,174.7959066,3,,0,,Pacific/Auckland
6287,6287, Beacon Hill Road (near 11),BeaconHillRd at 11,-41.32382305,174.8280761,3,,0,,Pacific/Auckland
8094,8094, Akatea Road at Maungaraki Road (near 36),AkateaRd at Maungaraki,-41.21348156,174.8689855,4,,0,,Pacific/Auckland
8569,8569, Fergusson Drive at Ranfurly Street,FergussonDr at 510,-41.13311957,175.0398045,7,,0,,Pacific/Auckland
7147,7147, Happy Valley Road (near 163),HappyValleyRd at 163,-41.33574519,174.7581114,3,,0,,Pacific/Auckland
5414,5414, Waru Street at Calcutta Street,WaruSt at Calcutta,-41.25202884,174.7898797,3,,0,,Pacific/Auckland
1972,1972, South Road at Kuripuni Street,SouthRd at Kuripuni,-40.95908498,175.6471705,14,,0,,Pacific/Auckland
1370,1370, Alexander Road at Ngaio Road (Opposite 79),AlexanderRd at Ngaio,-40.91225819,174.9830106,9,,0,,Pacific/Auckland
8967,8967, Wellington Road at Whitehall Street,WgtnRd at Whitehall,-41.2402259,174.9455217,5,,0,,Pacific/Auckland
